CONTESTO,FRASE,REF,ORIGINALE,TRADUZIONE AUTOMATICA DEEPL,REF,ACCORDO,,,,,https://github.com/amazon-science/machine-translation-gender-eval/blob/main/data/context/geneval-context-wikiprofessions-2to1-dev.en_de.en#L3
"In 2014, a librarian at the southern California campus of Everest College quit her position when she learned a student she was assisting could only read at the third-grade level, may have a developmental disability, and was unlikely to find work in his chosen field. <sep> ",The librarian resigned out of principle after an unsuccessful attempt to resolve the issue with administration.,F,"Die Bibliothekarin kündigte aus Prinzip, nachdem es ihr nicht gelang, die Angelegenheit mit der Verwaltung zu klären.","Die Bibliothekarin trat aus Prinzip zurück, nachdem sie erfolglos versucht hatte, die Angelegenheit mit der Verwaltung zu klären.",F,Y,,,,,
"The Swan is an American reality television program broadcast on Fox in 2004, in which women who were judged to be ugly were given extreme makeovers that included several forms of plastic surgery. <sep> ","Each contestant was assigned a panel of specialists – a coach, therapist, trainer, cosmetic surgeons, and a dentist – who together designed a program of total transformation.",F,"Jeder Teilnehmerin wurde ein Expertenteam zugewiesen - ein Coach, ein Therapeut, ein Trainer, ein Schönheitschirurg und ein Zahnarzt - das gemeinsam ein umfassendes Verwandlungsprogramm entwarf.","Jedem Teilnehmer wurde eine Gruppe von Spezialisten zugeteilt - ein Coach, ein Therapeut, ein Trainer, ein Schönheitschirurg und ein Zahnarzt -, die gemeinsam ein Programm zur völligen Umgestaltung entwarfen.",M,N,,,,,
"Two years later, when Hunt was promoted to the Arizona Tax Commission, Mofford followed her boss to the new position. <sep> ",Mofford returned to the Tax Commission in 1947 as executive secretary.,F,Mofford kehrte 1947 als Chefsekretärin zur Steuerkommission zurück.,Mofford kehrte 1947 als Exekutivsekretär in die Steuerkommission zurück.,M,N,,,,,
"In 1995, she completed her only large scale experimentation with glass, an illuminated glass screen named Flight Structure, which was installed in Terminal 3 of Heathrow Airport. <sep> ",This was installed by the airside entrance and the artist styled the work to convey the transition from security to flight.,F,"Das Werk wurde am Eingang zur Luftseite installiert, es wurde von der Künstlerin so gestaltet, dass es den Übergang von der Sicherheitsschleuse zum Flug symbolisiert.","Das Werk wurde am Eingang zur Luftseite installiert, und der Künstler gestaltete es so, dass es den Übergang von der Sicherheit zum Flug vermittelt.",M,N,,,,,
"In late August 2018, during the Chemnitz protests following the murder of a football supporter, the far-right group calling themselves Pro-Chemnitz organized by Pegida and Alternative for Germany carried banners with pictures of murder victims, among which was the photo of Lösche which led to her family initiating legal action against those who used her picture to further an anti-immigration agenda. <sep> ",Lösche was a student at the University of Bamberg in Bavaria.,F,Lösche war Studentin an der Universität in Bamberg in Bayern.,Lösche war Student an der Universität Bamberg in Bayern.,M,N,,,,,
She is assisted by her three day-shift orderlies and her assistant doctors and nurses. <sep> ,"McMurphy constantly antagonizes Nurse Ratched and upsets the routines of the ward, leading to endless power struggles between the inmate and the nurse.",F,"McMurphy arbeitet immer wieder gegen Schwester Ratched und bringt die Abläufe durcheinander, wodurch ein ständiger Machtkampf zwischen dem Patienten und der Schwester entsteht.","McMurphy ist ein ständiger Widersacher von Schwester Ratched und bringt die Routinen der Station durcheinander, was zu endlosen Machtkämpfen zwischen dem Insassen und der Krankenschwester führt.",F,Y,,,,,
"Koolmatrie learned her craft in the early 1980s from elder and weaver, Dorothy Kartinyeri. <sep> ","Their coiled bundle technique uses local spiny-headed sedge (Cyperus gymnocaulos), known to the artist as bilbili and river rushes, and Koolmatrie is credited with saving the traditional Ngarrindjeri craft.",F,"Für das Aufrollen der Bündel wird die einheimische Stachel-Segge (Cyperus gymnocaulos) verwendet, die von den Künstlerinnen auch als Bilbili oder Flussbinse bezeichnet wird, und es wird Koolmatrie zugeschrieben, das traditionelle Handwerk der Ngarrindjeri gerettet zu haben.","Für die Technik der aufgerollten Bündel wird die einheimische Stachelsegge (Cyperus gymnocaulos) verwendet, die dem Künstler als Bilbili und Flussbinsen bekannt ist, und es wird Koolmatrie zugeschrieben, das traditionelle Handwerk der Ngarrindjeri gerettet zu haben.",M,N,,,,,
"During the period between 1960 and 1964, Mitchell moved away from the all-over style and bright colors of her earlier compositions, instead using sombre hues and dense central masses of color to express something inchoate and primordial. <sep> ","The marks on these works were said to be extraordinary: The paint flung and squeezed on to the canvases, spilling and spluttering across their surfaces and smeared on with the artist's fingers.",F,"Die Spuren auf diesen Arbeiten wurden für außergewöhnlich befunden: Die Farbe wurde auf die Leinwände geschleudert und gepresst, die Farbe verlief und spritzte und wurde dann von der Künstlerin mit den Fingern verschmiert.","Die Spuren auf diesen Werken sollen außergewöhnlich sein: Die Farbe wurde auf die Leinwände geschleudert und gepresst, spritzte und sprühte über die Oberflächen und wurde mit den Fingern des Künstlers verschmiert.",M,N,,,,,
"For this book she won the Nienke van Hichtum-prijs, the Woutertje Pieterse Prijs and the Gouden Griffel. <sep> ",Schaap is the first author to win the Woutertje Pieterse Prijs with a debut novel.,F,"Schaap ist die erste Autorin, die den Woutertje Pieterse Prijs mit einem Debütroman gewonnen hat.","Schaap ist der erste Autor, der mit einem Debütroman den Woutertje Pieterse Prijs gewonnen hat.",M,N,,,,,
They were literally defects of her voice; she bent them into advantages of her singing. <sep> ,"Giulini believes, If melodrama is the ideal unity of the trilogy of words, music, and action, it is impossible to imagine an artist in whom these three elements were more together than Callas.",F,"Giulini meint: ""Nimmt man das Melodrama als die ideale Einheit einer Trilogie aus Wort, Musik und Handlung, dann ist es unmöglich, sich eine Künstlerin vorzustellen, die diese drei Elemente besser vereint als Callas.""","Giulini meint: ""Wenn das Melodram die ideale Einheit der Trilogie von Wort, Musik und Handlung ist, dann ist es unmöglich, sich einen Künstler vorzustellen, bei dem diese drei Elemente mehr vereint waren als bei Callas.",M,N,,,,,
"On November 18, 2004, she revealed on her website that she would return to music and announced that the album would be called The Emancipation of Mimi, stating, For the first time in my life, I feel free and unashamed to be who I really am, she wrote. <sep> ",I am celebrating that I've grown into a person and artist who no longer feels imprisoned by my insecurities ...,F,"Ich feiere, dass ich mich zu einer Frau und Künstlerin entwickelt habe, die sich nicht mehr durch ihre Unsicherheiten eingeschränkt fühlt.","Ich freue mich, dass ich zu einem Menschen und Künstler herangewachsen bin, der sich nicht mehr durch seine Unsicherheiten gefangen fühlt ...",M,N,,,,,
"At her mother's urging, Karsavina chose to graduate ahead of schedule in early 1902. <sep> ",They desperately needed the small income Karsavina would receive as a dancer with the corps de ballet.,F,"Sie brauchten dringend das geringe Einkommen, das Karsavina als Tänzerin des Corps de Ballet verdienen würde.","Sie brauchten dringend das kleine Einkommen, das Karsavina als Tänzerin des Corps de ballet erhalten würde.",F,Y,,,,,
"She was born Charlotte Louise Kingdon, the daughter of John Clarence Kingdon and Elsie Wilmot, and was educated at Minnedosa Collegiate, the Manitoba Provincial Normal School and Brandon College. <sep> ","Prior to running for political office, Oleson raised three children and worked as librarian for the town of Glenboro and later for Glenboro Collegiate.",F,"Bevor Oleson für ein politisches Amt kandidierte, zog sie drei Kinder groß und arbeitete erst als Bibliothekarin für die Stadt Glenboro und später für das Glenboro Collegiate.","Bevor sie für ein politisches Amt kandidierte, zog Oleson drei Kinder groß und arbeitete als Bibliothekarin für die Stadt Glenboro und später für das Glenboro Collegiate.",F,Y,,,,,
"If she were more comfortable singing higher, then the teacher would probably classify her as a soprano. <sep> ","A voice teacher, however, would never classify a singer in more than one voice type, regardless of the size of the vocal range of the singer.",F,"Ein Gesangslehrer würde einer Sängerin allerdings nie mehr als eine Stimmlage zuordnen, unabhängig von der Größe des Stimmumfangs der Sängerin.","Ein Gesangslehrer würde einen Sänger jedoch nie in mehr als einen Stimmtyp einordnen, unabhängig von der Größe des Stimmumfangs des Sängers.",M,N,,,,,
Coordinates: 55.035°N 7.284°W Thornhill College is a Roman Catholic grammar school for girls. <sep> ,It has a student population of approximately 1500 and a staff of 100 teachers.,F,Es gibt etwa 1500 Schülerinnen und 100 Lehrkräfte.,Die Schule hat etwa 1500 Schüler und 100 Lehrkräfte.,M,N,,,,,
"In October 2005, Wightman was indicted in Boston, Massachusetts for practicing psychology without a license, filing false health care claims, and engaging in insurance fraud after local FOX affiliate WFXT did an undercover investigation into her therapy practice. <sep> ","Under unusual provisions of Massachusetts law, Wightman had been allowed to practice as a psychotherapist, not as a psychologist.",F,Aufgrund besonderer Bestimmungen in der Gesetzgebung von Massachusetts durfte Wightman nur als Psychotherapeutin und nicht als Psychologin praktizieren.,Aufgrund ungewöhnlicher Bestimmungen des Gesetzes von Massachusetts durfte Wightman als Psychotherapeut und nicht als Psychologe praktizieren.,M,N,,,,,
"As her work has evolved over the past several years, Baker says she is less conscious of ‘riding the boundary’ between the historically disparate modes. <sep> ",Flat Out also featured freestanding sculptural works such as Kurotoplac Kurve that the artist would explore further in subsequent shows.,F,"Flat Out zeigte auch freistehende bildnerische Arbeiten wie Kurotoplac Kurve, die die Künstlerin in späteren Ausstellungen weiter ausführen wird.","Flat Out zeigte auch freistehende skulpturale Arbeiten wie Kurotoplac Kurve, die der Künstler in späteren Ausstellungen weiter erforschen würde.",M,N,,,,,
"Lee has embarked on a tour promoting her album, Everyone Afraid to Be Forgotten. <sep> ","The artist stated that between shows ""I found myself alone in my studio at every given chance, inspired from that whole synergy I experienced with the audience on stage"".",F,"Über die Zeit zwischen den Auftritten sagte die Künstlerin: ""Ich fand mich bei jeder sich bietenden Gelegenheit allein in meinem Studio wieder, inspiriert von der ganzen Synergie, die ich mit dem Publikum auf der Bühne erlebte.""","Der Künstler erklärte, dass er sich zwischen den Shows ""bei jeder sich bietenden Gelegenheit allein in meinem Atelier wiederfand, inspiriert von der ganzen Synergie, die ich mit dem Publikum auf der Bühne erlebte"".",M,N,,,,,
"With the packed house at The Week Rio, and an audience of about three thousand people, Gil celebrated the anniversary of her show and pre-release of his DVD/Blu-ray which hits stores in August: It's eight-year career and three of them working on this show. <sep> ",Today I am an artist mature and aware enough of my segment.,F,"Heute bin ich eine Künstlerin, die reif genug ist, sich ihres Metiers bewusst zu sein.","Heute bin ich ein Künstler, der reif genug ist, sich seines Segments bewusst zu sein.",M,N,,,,,
"She had another affair with a local man during a stay with her daughters in Samoa in 1989; when she returned she discovered Pat was also having an affair, which she accepted. <sep> ","A prolific artist, Bewick paints in oil, sculpts, and works with cloth, but is most associated with watercolours.",F,"Bewick ist eine vielseitige Künstlerin, die neben Ölgemälden auch Skulpturen und Textilien anfertigt, sie ist aber vor allem für ihre Aquarelle bekannt.","Bewick ist ein produktiver Künstler, der in Öl malt, modelliert und mit Stoff arbeitet, aber am meisten mit Aquarellen in Verbindung gebracht wird.",M,N,,,,,
"Anne Elwood, from her Memoirs of Literary Ladies: It was her invariable habit to write in her bed-room, – a homely-looking, almost uncomfortable room, fronting the street, and barely furnished – with a simple white bed, at the foot of which was a small, old, oblong-shaped sort of dressing-table, quite covered with a common worn writing-desk, heaped with papers, while some strewed the ground, the table being too small for aught besides the desk. <sep> ","A little high-backed cane chair, which gave you any idea but that of comfort, and a few books scattered about, completed the author's paraphernalia.",F,"Ein kleiner Stuhl mit hoher Rückenlehne, der nur annähernd bequem aussah, und ein paar verstreute Bücher, stellten die Ausstattung der Autorin dar.","Ein kleiner Stuhl mit hoher Rückenlehne, der nichts als Bequemlichkeit vermittelte, und ein paar verstreute Bücher vervollständigten die Utensilien des Autors.",M,N,,,,,
"Following Congressional passage of the amendment, Friedan advocated for ratification of the amendment in the states and supported other women's rights reforms: she founded the National Association for the Repeal of Abortion Laws but was later critical of the abortion-centered positions of many liberal feminists. <sep> ","Regarded as an influential author and intellectual in the United States, Friedan remained active in politics and advocacy until the late 1990s, authoring six books.",F,"Friedan, die als einflussreiche Autorin und Vordenkerin in den Vereinigten Staaten gilt, blieb bis Ende der 1990er Jahre aktiv in der Politik und der Interessenvertretung und schrieb sechs Bücher.","Friedan, die als einflussreiche Autorin und Intellektuelle in den Vereinigten Staaten gilt, blieb bis Ende der 1990er Jahre in der Politik und als Anwältin aktiv und verfasste sechs Bücher.",F,Y,,,,,
She received the MacMillan and Brissenden for creative writing; the Canada Council award; the Vancouver Mayor's Arts Award for Literary Arts; and the Order of Canada for her contributions to Canadian literature. <sep> ,"Marlatt is currently a student of the Gelug school of Tibetan Buddhism, and currently lives in Vancouver, B.C.",F,"Marlatt ist derzeit Schülerin der Gelug-Schule des tibetischen Buddhismus und lebt in Vancouver, Ba.C.a","Marlatt ist derzeit Schüler der Gelug-Schule des tibetischen Buddhismus und lebt in Vancouver, B.C.",M,N,,,,,
"Meanwhile, she had left the Democratic Party, after having criticized Matteo Renzi's policies and joined Giuseppe Civati's Possible. <sep> ","After Civati's resignation, Brignone was elected the new Secretary of Possible.",F,Nach Civatis Rücktritt wurde Brignone die neue Vorsitzende von Possible.,Nach dem Rücktritt von Civati wurde Brignone zum neuen Sekretär von Possible gewählt.,M,N,,,,,
"Growing up with a carefree nature, she was an introvert and was the kind of girl who loved reading, writing and drawing. <sep> ","Aw wanted to be a dancer, an artist or a child psychologist.",F,"Aw wollte Tänzerin, Künstlerin oder Kinderpsychologin werden.","Aw wollte Tänzerin, Künstlerin oder Kinderpsychologin werden.",F,Y,,,,,
"Continuing to throw after the 1980 Olympics, she set the masters world record in the W35 division that has stood since 1980. <sep> ",Melnik graduated from the Moscow State University of Medicine and Dentistry and later worked as a dentist and athletics coach in Moscow.,F,Melnik machte einen Abschluss an der Staatlichen Universität Moskau für Medizin und Zahnmedizin und arbeitete später als Zahnärztin und Leichtathletiktrainerin in Moskau.,Melnik schloss sein Studium an der Moskauer Staatlichen Universität für Medizin und Zahnmedizin ab und arbeitete später als Zahnarzt und Leichtathletiktrainer in Moskau.,M,N,,,,,
"On May 10, 2015, Zubiri married her longtime boyfriend Andy Smith in New Manila, Quezon City. <sep> ","After a few sexy flicks, Zubiri became a GMA Network artist, appearing as a regular cast in Bubble Gang, a sketch comedy television program.",F,"Nach einigen Erotikfilmen kam Zubiri als Künstlerin bei GMA Network unter Vertrag und trat regelmäßig in Bubble Gang, einer Sketch-Comedy-Sendung, auf.","Nach einigen Erotikfilmen wurde Zubiri eine Künstlerin des GMA Network und trat regelmäßig in Bubble Gang, einer Sketch-Comedy-Sendung, auf.",F,Y,,,,,
The evidence is never considered as the doctor's nurse interrupts the conversation to tell her employer that she must visit her sick father. <sep> ,"The nurse drives through a rainy night, meeting a military tank on the road that is apparently hunting foxes.",F,"Die Krankenschwester fährt durch eine verregnete Nacht und trifft auf der Straße auf einen Militärpanzer, der anscheinend Füchse jagt.","Die Krankenschwester fährt durch eine regnerische Nacht und trifft unterwegs auf einen Militärpanzer, der offenbar Füchse jagt.",F,Y,,,,,
"Charmed were three girls in their mid-twenties:Oddrun Valestrand, Lise Monica Nygård, and Hanne Kristine Haugsand. <sep> ",Valestrand is a dancer and an all-round performer.,F,Valestrand ist Tänzerin und Allrounderin.,Valestrand ist Tänzerin und eine vielseitige Künstlerin.,F,Y,,,,,
"She marketed the book among family and friends and sent a copy to her publisher who made numerous cuts in both text and illustrations for the trade edition, chiefly among the tale's many nursery rhymes. <sep> ",Both were published in deluxe editions bound in a flowered chintz of scattered pansies the author selected.,F,"Beide wurde in Form von luxuriösen Ausgaben mit geblümten Chintz aus einzelnen Stiefmütterchen, die die Autorin ausgewählt hatte, veröffentlicht.","Beide wurden in Luxusausgaben veröffentlicht, die in einen geblümten Chintz aus verstreuten Stiefmütterchen gebunden waren, die der Autor ausgewählt hatte.",M,N,,,,,
"When she took a photography course, she became obsessed once more, and graduated with a photography major. <sep> ",Sigismondi started a career as a fashion photographer.,F,Sigismondi begann eine Karriere als Modefotografin.,Sigismondi begann eine Karriere als Modefotograf.,M,N,,,,,
"After scouring the plates in the scullery, she would leave them on racks to dry. <sep> ","The duties of the scullery-maid are to assist the cook; to keep the scullery clean, and all the metallic as well as earthenware kitchen utensils.",F,"Die Aufgaben des Küchenmagd bestehen darin, dem Koch zu helfen, die Küche sauber zu halten und alle metallischen und irdenen Küchenutensilien zu pflegen.","Die Aufgaben der Küchenmädchen bestehen darin, der Köchin zu assistieren, die Küche sauber zu halten und alle Küchengeräte aus Metall und Steingut aufzubewahren.",Neut,Y,,,,,
Her body was moved to Paris. <sep> ,The local dancers began leaving their worn pointe shoes on the Montmartre grave as a tribute and thanks to the first pointe dancer.,F,"Die ortsansässigen Tänzer hinterließen ihre alten Spitzenschuhe am Grab auf dem Montmartre Friedhof, um der ersten Spitzentänzerin Tribut und Dank zu zollen.","Die lokalen Tänzerinnen und Tänzer begannen, ihre abgenutzten Spitzenschuhe auf dem Grab auf dem Montmartre zu hinterlassen, als Tribut und Dank an die erste Spitzentänzerin.",F,Y,,,,,
"In both letters she quotes from such classical figures as Aristotle and Tacitus, and she draws from various Greek and Roman myths. <sep> ","Speght's was the first of three responses to Swetnam's tract, and was the only one published under the author's actual name.",F,"Speghts Reaktion war die erste von drei auf Swetnams Abhandlung und dabei die einzige, die unter dem tatsächlichen Namen der Autorin veröffentlicht wurde.","Speght's war die erste von drei Antworten auf Swetnams Traktat und die einzige, die unter dem tatsächlichen Namen des Autors veröffentlicht wurde.",M,N,,,,,
In 2008 she won the Astrid Lindgren Memorial Award which is administered by the Swedish Arts Council. <sep> ,The book contains many sex scenes and Hartnett was almost immediately outed as the author.,F,"Hartnett wurde fast umgehend als Autorin des Buches geoutet, darin enthalten sind auch viele Sexszenen.",Das Buch enthält viele Sexszenen und Hartnett wurde fast sofort als Autor geoutet.,M,N,,,,,
"He only completed two of the 21 races he entered, although more of these were due to mechanical failures than driver errors. <sep> ",1997 would be the last year Campos would spend as a professional driver.,M,1997 war für Campos das letzte Jahr als professioneller Fahrer.,"1997 sollte das letzte Jahr sein, das Campos als Berufsfahrer verbrachte.",M,Y,,,,,
His neighbours question his authority and do not seem to think much of the Jesus they remember or his family. <sep> ,"Isn't this the carpenter (τέκτoν, tektōn)?",M,"Ist das nicht der Tischler (τέκτoν, tektōn)?","Ist das nicht der Schreiner (τέκτoν, tektōn)?",M,Y,,,,,
"Born to a working-class family in Cambuslang, Ure attended Rutherglen Academy until he was 15 years old. <sep> ","After leaving school Ure attended Motherwell Technical College and then began to work as an engineer, training at the National Engineering Laboratory (NEL), in nearby East Kilbride.",M,"Nachdem er die Schule verlassen hatte, besuchte Ure das Motherwell Technical College und begann dann eine Ausbildung als Ingenieur am National Engineering Laboratory (NEL), in der Nähe von East Kilbride.",Nach seinem Schulabschluss besuchte Ure das Motherwell Technical College und begann dann eine Ausbildung zum Ingenieur am National Engineering Laboratory (NEL) im nahe gelegenen East Kilbride.,M,Y,,,,,
The director produces the play in the way he envisages how it ought to be seen as he interprets what the playwright intended within the drama; he takes care of the effectiveness of the rehearsals of the actors; and coordinates the work of designers and technicians in the production. <sep> ,"The stage manager has to work with the director, and ascertain whether both the director's objectives and the perceptions of the stage designers are compatible and realistic.",M,"Der Stage Manager muss mit dem Regisseur zusammenarbeiten und sicherstellen, dass die Ziele des Regisseurs und die Vorstellungen der Bühnen-Designer kompatibel und realistisch sind.","Der Inspizient muss mit dem Regisseur zusammenarbeiten und feststellen, ob die Ziele des Regisseurs und die Vorstellungen der Bühnenbildner miteinander vereinbar und realistisch sind.",M,Y,,,,,
"Whilst still hugely popular with both the club's fans and his own players, Bassett resigned from the club in June 1987, after chairman Sam Hammam attempted to insert a clause into Bassett's contract that would allow Hammam to veto Bassett's team selections. <sep> ",Bassett's reign as Watford manager was short-lived.,M,Bassetts Episode als der Manager von Watford war nur kurzlebig.,Die Amtszeit von Bassett als Watford-Manager war nur von kurzer Dauer.,M,Y,,,,,
"Mashburn, who averaged 20.8 points per game in 2003–04, is one of only six players since 1970 to have averaged at least 20 points per game in his final NBA season. <sep> ","Since retiring from basketball, Mashburn has worked for ESPN as an analyst and launched a number of successful business ventures.",M,"Nach seiner Karriere als Basketballer, arbeitete Mashburn für ESPN als Analyst und gründete eine Reihe erfolgreicher Unternehmen.",Seit seinem Rücktritt vom Basketball hat Mashburn für ESPN als Analyst gearbeitet und eine Reihe erfolgreicher Unternehmen gegründet.,M,Y,,,,,
"While in college, he was a member of the Young Americans for Freedom. <sep> ","After graduating from college, Souder worked as a marketing manager and small business owner.",M,"Nach dem Abschluss an der Universität, arbeitete Souder als Marketing-Manager und Eigentümer eines kleinen Unternehmens.",Souder arbeitete nach seinem College-Abschluss als Marketing-Manager und Inhaber eines kleinen Unternehmens.,M,Y,,,,,
"In football, as a senior, he was a Football News All-Independent first team selection, and registered 74 knockdown blocks. <sep> ","Thrust into a starting role immediately upon being drafted, Petitgout played left guard and right tackle before settling as the Giants' left tackle in 2002.",M,"Petitgout wurde direkt nach seinem Draft in eine Rolle gedrängt und spielte als linker Guard und rechter Tackle, bevor er im Jahr 2002 linker Tackle bei den Giants wurde.","Petitgout, der sofort nach seinem Draft in eine Startrolle gedrängt wurde, spielte als linker Guard und rechter Tackle, bevor er sich 2002 als linker Tackle der Giants etablierte.",M,Y,,,,,
"The ROC crest and cap badge depict a 16th-century soldier holding aloft a flaming torch while shielding his eyes with his free hand, as though looking towards a distant place or object. <sep> ","Uniform tunic buttons, lapel badges and the reverse of the ROC Medal also depict the soldier in the same pose while standing beside a coastal signal fire or warning beacon, with a chain of lit beacons extending along the coastline into the far distance.",M,"Uniformknöpfe, Reversabzeichen und die Rückseite der ROC-Medaille zeigen den Soldaten in derselben Pose neben einem Signalfeuer der Küste oder einer Warnbake, während sich eine Reihe von leuchtenden Baken entlang der Küstenlinie bis weit in die Ferne erstreckt.","Uniformknöpfe, Reversabzeichen und die Rückseite der ROC-Medaille zeigen den Soldaten in der gleichen Pose, während er neben einem Signalfeuer oder einer Warnbake an der Küste steht, wobei sich eine Kette von beleuchteten Baken entlang der Küste in die Ferne erstreckt.",M,Y,,,,,
"In Western Australia, in the Marsh v Baxter case, a GM canola farmer was sued by his organic neighbour because GM canola contamination led to the loss of organic certification. <sep> ","Although the facts of the case and the losses to the organic farmer were agreed between the parties, the judge did not find the GM farmer liable for the losses.",M,"Obwohl die Parteien in Bezug auf den Fall und die Verluste des Bio-Farmers übereinstimmten, entschied der Richter, der GM-Farmer sei für die Verluste nicht haftbar.","Obwohl sich die Parteien über den Sachverhalt und die Verluste des Biobauern einig waren, befand der Richter den GVO-Bauern nicht für die Verluste verantwortlich.",M,Y,,,,,
"At the University of Hull, he gained a BSc in Economics in 1954 during a two-year break from the Ministry of Power. <sep> ",Dearing joined the civil service as a 16-year-old clerical officer in 1946.,M,Dearing trat 1946 in den öffentlichen Dienst als 16 Jahre alter Büroangestellter ein.,Dearing trat 1946 als 16-jähriger Büroangestellter in den öffentlichen Dienst ein.,M,Y,,,,,
"He was largely autonomous on his patch, answering only to the divisional superintendent and only calling in support from Scotland Yard for very serious crimes such as murder. <sep> ","The rank was discontinued in 1949, when it was regraded to detective chief inspector.",M,Der Dienstgrad wurde 1949 abgeschafft und in Kriminalhauptkommissar zurückgestuft.,Der Dienstgrad wurde 1949 abgeschafft und in den Rang eines Kriminalhauptkommissars zurückgestuft.,M,Y,,,,,
He also contributed to the Royal Society and the International Union for Co-operation in Solar Research. <sep> ,This was an important appointment for such a junior scientist.,M,Das war ein wichtiger Termin für einen solchen Juniorwissenschaftler.,Dies war eine wichtige Ernennung für einen so jungen Wissenschaftler.,M,Y,,,,,
In April 2005 he took on the post of chief executive officer of IT:Autostrade per l'Italia. <sep> ,"Following the transformation of the Autostrade Group into Atlantia, Castellucci also assumed the role of chief executive officer of the new holding.",M,"Nach der Umwandlung der Autostrade Group in Atlantia, übernahm Castellucci auch die Position des Vorstandsvorsitzenden der neuen Holding.",Nach der Umwandlung der Autostrade-Gruppe in Atlantia übernahm Castellucci auch die Rolle des Vorstandsvorsitzenden der neuen Holding.,M,Y,,,,,
"In his explorations, he also had a chance to name several geographical features in the largely unexplored central and northern parts of New Brunswick, including Mount Carleton, the highest summit in the province, which he named after the first Lieutenant-Governor of New Brunswick, Thomas Carleton. <sep> ","As a scientist, Ganong brought a special quality to the study of New Brunswick history, which featured an emphasis on map-based studies and in determining the exact location of key historic sites.",M,"Als Wissenschaftler brachte Ganong eine besonderer Qualität in die Erforschung der Geschichte von New Brunswick ein, bei der der Schwerpunkt auf kartengestützten Studien und der genauen Bestimmung der Lage wichtiger historischer Stätten lag.","Als Wissenschaftler brachte Ganong eine besondere Qualität in die Erforschung der Geschichte von New Brunswick ein, bei der der Schwerpunkt auf kartenbasierten Studien und der Bestimmung der genauen Lage wichtiger historischer Stätten lag.",M,Y,,,,,
"In addition to his substantial contributions to web standards, Pemberton was also one of the developers of the ABC programming language and of the Views System, an open-architecture user interface system and application environment. <sep> ",Pemberton was editor-in-chief of SIGCHI Bulletin from 1993 to 1999 and of ACM Interactions from 1998 to 2004.,M,Von 1993 bis 1999 war Pemberton der Chefredakteur bei SIGCHI Bulletin und von 1998 bis 2004 bei ACM Interactions.,Pemberton war von 1993 bis 1999 Chefredakteur von SIGCHI Bulletin und von 1998 bis 2004 von ACM Interactions.,M,Y,,,,,
"Santamaría began representing Spain in 1958, his debut coming on 15 October against Northern Ireland (6–2 friendly win in Madrid). <sep> ","After working with the youth sides and spending two years with the under-21s, Santamaría was appointed manager of the full team for the 1982 World Cup, due to be played on home soil.",M,"Nachdem er mit den Jugendmannschaften und zwei Jahre mit der U-21 arbeitete, wurde Santamaría zum Manager des gesamten Teams für die Weltmeisterschaft 1982 ernannt, der auf heimischem Boden ausgetragen werden soll.","Nach der Arbeit mit den Jugendmannschaften und einem zweijährigen Aufenthalt bei der U21-Nationalmannschaft wurde Santamaría zum Trainer der Nationalmannschaft für die Weltmeisterschaft 1982 ernannt, die im eigenen Land ausgetragen werden sollte.",M,Y,,,,,
"Another band Silenoz, or Ed Damnator as he was called, played rhythm guitar and occasional bass in was the Norwegian thrash metal band, Nocturnal Breed. <sep> ",Before becoming a musician Silenoz used to work in a kindergarten.,M,"Bevor er Musiker wurde, arbeitete Silenoz in einem Kindergarten.","Bevor Silenoz Musiker wurde, arbeitete er in einem Kindergarten.",M,Y,,,,,
And with the composer Franz Gleißner he started a publishing firm in 1796 using lithography. <sep> ,Senefelder was appointed 1809 to be the Inspector of a new Institution set up for this purpose in Bavaria called the Lithographic Institute (Lithographische Anstalt) in Munich.,M,"Senefelder wurde 1809 zum Inspektor einer neuen Einrichtung ernannt, die in Bayern zu diesem Zweck gegründet wurde: die Lithographische Anstalt in München.","Senefelder wurde 1809 zum Inspektor einer zu diesem Zweck in Bayern neu gegründeten Institution, der Lithographischen Anstalt in München, ernannt.",M,Y,,,,,
"Sowry was born in Palmerston North, and attended Tararua College in Pahiatua where he was head boy. <sep> ","After working for a time at the Valuation Department, Sowry was employed by Hannahs, shoe manufacturers and retailers as a retail manager.",M,Sowry arbeitete eine Zeit lang in der Wertgutachtenabteilung und dann beim Schuhhersteller und -händler Hannahs als Verkaufsleiter.,"Nachdem er eine Zeit lang in der Schätzungsabteilung gearbeitet hatte, wurde Sowry von Hannahs, einem Schuhhersteller und Einzelhändler, als Einzelhandelsmanager eingestellt.",M,Y,,,,,
"In July 2000, McCall accepted his first coaching role, when he was appointed assistant manager to Chris Hutchings at Bradford City, after Hutchings was promoted from the role to replace Paul Jewell as City manager. <sep> ","Just four months later, Hutchings was sacked, and McCall was appointed as caretaker-player manager.",M,Nur vier Monate später wurde Hutchings entlassen und wurde Interimscoach und Spielermanager.,"Nur vier Monate später wurde Hutchings entlassen, und McCall wurde als Interimsspieler-Manager eingesetzt.",M,Y,,,,,
"Trapp created the Oklahoma Forestry Commission, the Oklahoma Conservation Commission, and the Oklahoma Fish and Game Commission out of his desire to preserve the environment. <sep> ",Trapp also proved to be an effective law enforcement officer.,M,Trapp erwies sich auch als effektiver Rechtspfleger.,Trapp erwies sich auch als effizienter Vollzugsbeamter.,M,Y,,,,,
