CONTESTO,FRASE,REF,ORIGINALE,TRADUZIONE AUTOMATICA GT,REF2,ACCORDO,,DATASET ORIGINALI
Much of the book is irrelevant to Miss Peters's central thesis. <sep> ,The author's linguistic and scholarly abilities are open to question.,F,Die sprachlichen und fachlichen Kenntnisse der Autorin sind fraglich.,Die sprachlichen und wissenschaftlichen Fähigkeiten des Autors sind fraglich.,M,N,,
"Mishol has lectured and taught creative writing at Ben Gurion University, Tel Aviv University, and the Hebrew University in Jerusalem where she also served as Poet-in-Residence (2007). <sep> ",Mishol is the author of 16 volumes of poetry.,F,Mishol ist Autorin von 16 Gedichtbänden.,Mishol ist Autor von 16 Gedichtbänden.,M,N,,
"Dharitri Terangpi (born 24 February 1996) better known as Babie and Nirdhar, is a woman Royal Enfield bullet biker from Guwahati, India. <sep> ","Terangpi is a competitive motorcyclist, long distance rider and photographer.",F,"Terangpi ist Motorradrennfahrerin, Langstreckenfahrerin und Fotografin.","Terangpi ist ein konkurrenzfähiger Motorradfahrer, Langstreckenfahrer und Fotograf.",M,N,,
Levavasseur then announced she was withdrawing from the list for the party after facing a barrage of sexist and violent harassment. <sep>,Levavasseur is a trained but currently unemployed nurse's aide.,F,"Levavasseur ist eine gelernte, aber gegenwärtig arbeitslose Schwesternhelferin.","Levavasseur ist ausgebildeter, aber derzeit arbeitsloser Krankenpfleger.",M,N,,
A publication called the California Employment Law Letter described the case as follows: The dancer based her suit on the fact that she was an employee of the nightclub rather than an independent contractor. <sep> ,"The appellate court, however, after applying a 10-factor test, upheld the jury's verdict in favor of the nightclub and its owners and found that the evidence weighed in favor of classifying the dancer as an independent contractor rather than an employee.",F,"Das Berufungsgericht bestätigte nach der Durchführung eines 10-Faktoren-Pürfverfahrens das Urteil der Geschworenen jedoch zugunsten des Nachtclubs und seiner Inhaber und stellte fest, dass die Beweise dafür sprachen, dass die Tänzerinnen als unabhängige Auftragnehmerinnen und nicht als Arbeitnehmerinnen einzustufen sind.","Das Berufungsgericht bestätigte jedoch nach Anwendung eines 10-Faktoren-Tests das Urteil der Jury zugunsten des Nachtclubs und seiner Eigentümer und stellte fest, dass die Beweise dafür sprachen, die Tänzerin als unabhängigen Auftragnehmer und nicht als Angestellten einzustufen.",M,N,,
"She had her first pieces of journalism published in The Review, the official student newspaper of St. <sep>",Ivins later became co-editor of the arts and culture section of the student paper.,F,Später wurde Ivins Mitherausgeberin des Kunst- und Kulturteils der Studentenzeitung.,Ivins wurde später Mitherausgeber der Kunst- und Kulturabteilung der Studentenzeitung.,M,N,,
"She illustrated the books The Works of Jesus (1909) by Edna S. Little, Love in a Dutch Garden (1914) by Neith Boyce, More Fairytale Plays (1917) by Marguerite Merington, Gertrude Crownfield's Heralds of the King (1931), and Justine Ward's Sunday Mass (1932). <sep> ",Delehanty was a prolific designer of bookplates.,F,Delehanty war eine produktive Designerin von Lesezeichen.,Delehanty war ein produktiver Designer von Exlibris.,M,N,,
"Her committee assignments include the Aging and Older Adult Services, Children & Youth, Commerce, and Rules. <sep> ",Shusterman also serves as Democratic secretary of the Judiciary committee.,F,Shusterman ist außerdem Ministerin der Demokraten im Justizausschuss.,Shusterman dient auch als demokratischer Sekretär des Justizausschusses.,M,N,,
"She received her early education in French, while at the same time attending Koranic school. <sep> ",Bâ was a prominent law student at school.,F,Bâ war eine herausragende Jurastudentin an der Hochschule.,Bâ war ein prominenter Jurastudent in der Schule.,M,N,,
"The results of her performances, however, were another triumph for Elssler, and the temporary eclipse of Taglioni. <sep> ","Taglioni, although the finer artist of the two, could not for the moment compete with the newcomer's personal fascination.",F,"Obwohl Taglioni die feinsinnigere von beiden Künstlern war, konnte sie mit der Begeisterung der Neuankömmlinge vorerst nicht mithalten.","Taglioni, obwohl der feinere Künstler der beiden, konnte im Moment nicht mit der persönlichen Faszination des Neuankömmlings mithalten.",M,N,,
"Well constructed, full of intriguing ideas, never short of insight, her stories and novellas are always a bit too preposterous, stiff and uninspired, showing little knowledge of real life. <sep> ","Serving as embodiments of ideas and concepts, they are genuinely crafted marionettes put into action by the author's hand, not by their own inner motives.",F,"Als Verkörperungen von Ideen und Konzepten sind sie nur Marionetten, die von der Hand der Autorin und nicht von ihren persönlichen Motiven in Bewegung gesetzt werden.","Sie dienen als Verkörperungen von Ideen und Konzepten und sind wahrhaft handwerkliche Marionetten, die von der Hand des Autors in Bewegung gesetzt werden, nicht von eigenen inneren Motiven.",M,N,,
"In commission schools female dancers have the choice to wear either a wig or curl their hair, but usually in championship levels, girls choose to wear a wig, as wigs are more convenient and popular. <sep> ",Dancers get synthetic ringlet wigs that match their hair color or go with an extremely different shade (a blonde dancer wearing a black wig or vice versa).,F,"Tänzerinnen bekommen synthetische Perücken mit Ringellocken, die zu ihrer Haarfarbe passen oder eine ganz gegensätzliche Farbe haben (eine blonde Tänzerin trägt eine schwarze Perücke oder umgekehrt).","Tänzer bekommen synthetische Ringelperücken, die zu ihrer Haarfarbe passen oder zu einem ganz anderen Farbton passen (eine blonde Tänzerin trägt eine schwarze Perücke oder umgekehrt).",M,N,,
"In front of the bust is a figure of a seated female school teacher holding the hand of a young, female student. <sep> ",The scene represents the close relationship between teacher and student that Zahle endorsed.,F,"Die Szene veranschaulicht die enge Beziehung zwischen der Lehrerin und der Schülerin, die Zahle guthieß.","Die Szene repräsentiert die enge Beziehung zwischen Lehrer und Schüler, die Zahle befürwortete.",M,N,,
"As her interest in entertainment developed, Angela and her sister would often put on shows, reading poems or performing popular music for their family. <sep> ","At Boca Ciega High School, Bassett was a cheerleader and a member of the Upward Bound college prep program, the debate team, student government, drama club and choir.",F,"An der Boca Ciega High School war Bassett Cheerleaderin und Mitglied des College-Vorbereitungsprogramms Upward Bound, des Debattierclubs, der Schülervertretung, der Theatergruppe und des Chors.","An der Boca Ciega High School war Bassett Cheerleader und Mitglied des Upward Bound College-Vorbereitungsprogramms, des Debattierteams, der Schülervertretung, des Theaterclubs und des Chors.",M,N,,
While coverage in Le Temps said that she spoke clearly with a convincing vivacity and spoke with authority about her area of expertise. <sep> ,"Following graduation, Lavaud worked as a librarian at the Sorbonne.",F,Nach ihrem Abschluss arbeitete Lavaud als Bibliothekarin an der Sorbonne.,Nach seinem Abschluss arbeitete Lavaud als Bibliothekar an der Sorbonne.,M,N,,
"Both concerts were commercial success, selling out on both tour dates, and made her one of few top-drawer Japanese artists to hold a concert at the Tokyo Dome. <sep> ","With sales from both the concert and album, Hamasaki was recognized as the top selling artist of 2001 with over 24 billion yen.",F,Mit den Umsätzen aus dem Konzert und den Albumverkäufen wurde Hamasaki mit über 24 Milliarden Yen als umsatzstärkste Künstlerin des Jahres geführt.,Mit den Verkäufen sowohl des Konzerts als auch des Albums wurde Hamasaki mit über 24 Milliarden Yen als der meistverkaufte Künstler des Jahres 2001 anerkannt.,M,N,,
"Sherman works in series, typically photographing herself in a range of costumes. <sep> ",Bus Riders (1976–2000) is a series of photographs that feature the artist as a variety of meticulously observed characters.,F,"Bus Riders (1976-2000) ist eine Serie von Fotografien, in der sich die Künstlerin selbst als sorgfältig beobachtende Figuren inszeniert.","Bus Riders (1976–2000) ist eine Serie von Fotografien, die den Künstler als eine Vielzahl akribisch beobachteter Charaktere zeigen.",M,N,,
"Others of her personal papers are part of the collection titled Papers of Anna Spicer Gladding and Miriam Van Waters, 1885–1992 (MC 426) housed at the Schlesinger Library at Harvard. <sep> ","Gladding, hired in 1932 to teach in the nursery at Framingham, served as the organist and choir director for the prison, led study groups, coordinated visitor activities, and became the institution's librarian in 1957.",F,"Gladding, die 1932 als Kindergärtnerin in Framingham eingestellt wurde, diente als Organistin und Chorleiterin des Gefängnisses, leitete Studiengruppen, koordinierte Besucheraktivitäten und wurde 1957 Bibliothekarin der Anstalt.","Gladding, der 1932 eingestellt wurde, um im Kindergarten von Framingham zu unterrichten, diente als Organist und Chorleiter für das Gefängnis, leitete Studiengruppen, koordinierte Besucheraktivitäten und wurde 1957 Bibliothekar der Institution.",M,N,,
President Jimmy Carter appointed her to be the first United States Secretary of Education in 1979. <sep> ,"As the first Secretary of Education, Hufstedler's agenda has been depicted as being focused on strengthening state and federal interrelationships, as well as educational equity.",F,Als erste Bildungsministerin richtete Hufstedler ihre Agenda auf die Stärkung der Beziehung zwischen den Bundesstaaten und dem Bund und auf Bildungsgerechtigkeit.,"Als erster Bildungsminister wurde Hufstedlers Agenda so dargestellt, dass sie sich auf die Stärkung der Beziehungen zwischen Bund und Ländern sowie auf Bildungsgerechtigkeit konzentriert.",M,N,,
"With the use of hidden cameras, she filmed chairs being smashed, pupils fighting in class, swearing at teachers by pupils and false accusations by pupils of her touching them. <sep> ","The documentary showed children aged from 12 to 15 completely ignoring the supply teacher and other staff while they shout, scream, fight, swear, downloading porn and wandering around the classroom at will.",F,"Der Dokumentarfilm zeigt, wie Kinder im Alter von 12 bis 15 Jahren die Vertretungslehrerin und andere Mitarbeiter völlig ignorieren und dabei schreien, kämpfen, fluchen, Pornos herunterladen und nach Lust und Laune durch das Klassenzimmer laufen.","Der Dokumentarfilm zeigte Kinder im Alter von 12 bis 15 Jahren, die den Hilfslehrer und andere Mitarbeiter völlig ignorierten, während sie schreien, schreien, kämpfen, fluchen, Pornos herunterladen und nach Belieben durch das Klassenzimmer wandern.",M,N,,
"That same year, she completed a group of new paintings and from 1975 they were exhibited regularly. <sep> ","A second movie, Captivity, was never completed after the artist threw the rough cut into the town dump.",F,"Nachdem die Künstlerin den Rohschnitt auf die Müllhalde der Stadt geworfen hatte, wurde der zweite Film ""Captivity"" nie fertiggestellt,","Ein zweiter Film, Captivity, wurde nie fertiggestellt, nachdem der Künstler den Rohschnitt in die Müllkippe der Stadt geworfen hatte.",M,N,,
"As with Scotland, she has leveraged the challenges of and learning in this process to impact energy policy in Montgomery County and in Maryland. <sep> ",Siegel was a Head Start teacher early in the program's years.,F,Siegel war als Head-Start-Lehrerin in den ersten Jahres des Programms tätig.,Siegel war zu Beginn des Programms Head Start-Lehrer.,M,N,,
"She wrote it in 8 months and stuck it in a drawer until a friend persuaded her to submit to a writing contest, which she won. <sep> ",Each case is an opportunity for the author to reveal another aspect of the seamy underside of society and another facet of Venetian life.,F,"Jeder Fall bietet der Autorin die Gelegenheit, einen weiteren Teil der Schattenseiten der Gesellschaft und eine andere Facette des venezianischen Lebens zu enthüllen.","Jeder Fall ist eine Gelegenheit für den Autor, einen anderen Aspekt der dunklen Kehrseite der Gesellschaft und eine andere Facette des venezianischen Lebens aufzudecken.",M,N,,
Her works have been praised by Anne Jordan and Chris Searle for her literary value and political engagement. <sep> ,"Shinebourne is the author of novels, short stories, and essays.",F,"Shinebourne ist Autorin von Romanen, Kurzgeschichten und Essays.","Shinebourne ist Autor von Romanen, Kurzgeschichten und Essays.",M,N,,
"Schmidle was born in Bridgeport, Connecticut, She lived in Newtown, Connecticut with her husband and family and was involved with the Newtown Parent Teacher Association. <sep> ",Schmidle served as the president of the Connecticut State Parent Teacher Association.,F,Schmidle war Präsidentin der Connecticut State Parent Teacher Association.,Schmidle diente als Präsident der Connecticut State Parent Teacher Association.,M,N,,
"As soon as the second hospital plane landed, the flight nurse aboard received her orders. <sep> ","The plane was loaded and usually departed in approximately 45 minutes, the flight nurse being responsible for all patients aboard.",F,"Das Flugzeug wurde beladen und flog gewöhnlich 45 Minuten später los, dabei war die Krankenschwester im Flugzeug für alle Patienten an Bord verantwortlich.","Das Flugzeug war beladen und flog normalerweise in ungefähr 45 Minuten ab, wobei die Flugkrankenschwester für alle Patienten an Bord verantwortlich war.",F,Y,,
"In great houses, scullery maids were the lowest-ranked and often the youngest of the female domestic servants and acted as assistant to a kitchen maid. <sep> ",The scullery maid reported (through the kitchen maid) to the cook or chef.,F,"Die Spülmagd war (über die Küchenmagd) dem Koch oder de, Küchenchef unterstellt.",Das Küchenmädchen meldete sich (durch das Küchenmädchen) beim Koch oder Koch.,Neut,Y,,
She became the first woman to be given the title of majority leader of the Kansas Senate when she was elected in 1993. <sep> ,"While serving as lieutenant governor, Frahm also served as the state's Secretary of Administration.",F,Während ihrer Amtszeit als Vizegouverneurin war Frahm außerdem Verwaltungsministerin des Bundesstaates.,Während seiner Tätigkeit als Vizegouverneur diente Frahm auch als Staatssekretär für Verwaltung.,M,N,,
"Her work is featured in the Saatchi Collection, and she is represented by Deitch Projects, New York. <sep> ","Both exhibitions continued the artist’s interest in auto racing by exploring, “the connection between painting and automobile racing, particularly by the contrast between accident versus control that characterizes both pursuits.”",F,"Beide Ausstellungen führten das Interesse der Künstlerin an Autorennen fort, indem sie ""die Verbindung von Malerei und Autorennen durch den Kontrast von Unfall und Kontrolle, der charakteristisch für beide Aktivitäten ist, näher beleuchteten. ""","Beide Ausstellungen setzten das Interesse des Künstlers an Autorennen fort, indem sie „die Verbindung zwischen Malerei und Autorennen untersuchten, insbesondere durch den Kontrast zwischen Unfall und Kontrolle, der beide Aktivitäten charakterisiert“.",M,N,,
"Ibbotson had said she disliked financial greed and a lust for power, and often created antagonists in her books who have these characteristics. <sep> ","These books, set primarily in the Austrian countryside, display the author's love of nature.",F,"Diese Bücher, die überwiegend in der österreichischen Landschaft spielen, spiegeln die Liebe der Autorin zur Natur wider.","Diese Bücher, die hauptsächlich in der österreichischen Landschaft spielen, zeigen die Liebe der Autorin zur Natur.",F,Y,,
"During the litigation with her label, Rimes asked that Curb give Rimes the rights to all past recordings and videos, give up all publishing interests in her compositions and destroy all currently available recordings. <sep> ","I want to make abundantly clear to you that this album is not a reflection of myself as an artist but is solely the conception of Curb Records, and for that I am truly and deeply sorry.",F,"Ich möchte euch klar und deutlich sagen, dass dieses Album mich als Künstlerin nicht widerspiegelt, sondern einzig und allein dem Konzept von Curb Records folgt, was mir aufrichtig und zutiefst leidtut.","Ich möchte Ihnen deutlich machen, dass dieses Album kein Spiegelbild meiner selbst als Künstler ist, sondern ausschließlich die Konzeption von Curb Records, und das tut mir wirklich und zutiefst leid.",M,N,,
"Three weeks before her death, Slaughterback donated her famous rattlesnake skin dress to the Greeley Municipal Museum; Ernie donated more of her possessions after her death, including her Remington rifle. <sep> ",Slaughterback was a nurse during World War II and served in the Pacific Theater.,F,Slaughterback war Krankenschwester während des Zweiten Weltkriegs und diente im Pazifik-Theater.,Slaughterback war während des Zweiten Weltkriegs Krankenschwester und diente im Pacific Theatre.,F,Y,,
"Together, their presence in the household gave Kamaladevi a firm grounding and provided benchmarks to respect for her intellect as well as her voice, something that she came to be known for in the future. <sep> ",Kamaladevi was an exceptional student and also exhibited qualities of determination and courage from an early age.,F,Kamaladevi war eine außergewöhnliche Schülerin und bewies schon in jungen Jahren Entschlossenheit und Mut.,Kamaladevi war ein außergewöhnlicher Schüler und zeigte schon in jungen Jahren Qualitäten wie Entschlossenheit und Mut.,M,N,,
"In 2014, a librarian at the southern California campus of Everest College quit her position when she learned a student she was assisting could only read at the third-grade level, may have a developmental disability, and was unlikely to find work in his chosen field. <sep> ",The librarian resigned out of principle after an unsuccessful attempt to resolve the issue with administration.,F,"Die Bibliothekarin kündigte aus Prinzip, nachdem es ihr nicht gelang, die Angelegenheit mit der Verwaltung zu klären.","Die Bibliothekarin hat nach einem erfolglosen Versuch, das Problem mit der Verwaltung zu lösen, aus Prinzip gekündigt.",F,Y,,
"The Swan is an American reality television program broadcast on Fox in 2004, in which women who were judged to be ugly were given extreme makeovers that included several forms of plastic surgery. <sep> ","Each contestant was assigned a panel of specialists – a coach, therapist, trainer, cosmetic surgeons, and a dentist – who together designed a program of total transformation.",F,"Jeder Teilnehmerin wurde ein Expertenteam zugewiesen - ein Coach, ein Therapeut, ein Trainer, ein Schönheitschirurg und ein Zahnarzt - das gemeinsam ein umfassendes Verwandlungsprogramm entwarf.","Jedem Teilnehmer wurde ein Gremium von Spezialisten zugeteilt – ein Coach, Therapeut, Trainer, Schönheitschirurgen und ein Zahnarzt – die gemeinsam ein Programm der totalen Transformation entwarfen.",M,N,,
"Two years later, when Hunt was promoted to the Arizona Tax Commission, Mofford followed her boss to the new position. <sep> ",Mofford returned to the Tax Commission in 1947 as executive secretary.,F,Mofford kehrte 1947 als Chefsekretärin zur Steuerkommission zurück.,Mofford kehrte 1947 als Exekutivsekretär zur Steuerkommission zurück.,M,N,,
"In 1995, she completed her only large scale experimentation with glass, an illuminated glass screen named Flight Structure, which was installed in Terminal 3 of Heathrow Airport. <sep> ",This was installed by the airside entrance and the artist styled the work to convey the transition from security to flight.,F,"Das Werk wurde am Eingang zur Luftseite installiert, es wurde von der Künstlerin so gestaltet, dass es den Übergang von der Sicherheitsschleuse zum Flug symbolisiert.","Diese wurde am luftseitigen Eingang installiert und der Künstler gestaltete die Arbeit so, dass sie den Übergang von der Sicherheit zum Flug vermittelt.",M,N,,
"In late August 2018, during the Chemnitz protests following the murder of a football supporter, the far-right group calling themselves Pro-Chemnitz organized by Pegida and Alternative for Germany carried banners with pictures of murder victims, among which was the photo of Lösche which led to her family initiating legal action against those who used her picture to further an anti-immigration agenda. <sep> ",Lösche was a student at the University of Bamberg in Bavaria.,F,Lösche war Studentin an der Universität in Bamberg in Bayern.,Lösche war Student an der Universität Bamberg in Bayern.,M,N,,
She is assisted by her three day-shift orderlies and her assistant doctors and nurses. <sep> ,"McMurphy constantly antagonizes Nurse Ratched and upsets the routines of the ward, leading to endless power struggles between the inmate and the nurse.",F,"McMurphy arbeitet immer wieder gegen Schwester Ratched und bringt die Abläufe durcheinander, wodurch ein ständiger Machtkampf zwischen dem Patienten und der Schwester entsteht.","McMurphy bringt Schwester Ratched ständig gegen sich auf und bringt die Routinen der Station durcheinander, was zu endlosen Machtkämpfen zwischen dem Insassen und der Krankenschwester führt.",F,Y,,
"Koolmatrie learned her craft in the early 1980s from elder and weaver, Dorothy Kartinyeri. <sep> ","Their coiled bundle technique uses local spiny-headed sedge (Cyperus gymnocaulos), known to the artist as bilbili and river rushes, and Koolmatrie is credited with saving the traditional Ngarrindjeri craft.",F,"Für das Aufrollen der Bündel wird die einheimische Stachel-Segge (Cyperus gymnocaulos) verwendet, die von den Künstlerinnen auch als Bilbili oder Flussbinse bezeichnet wird, und es wird Koolmatrie zugeschrieben, das traditionelle Handwerk der Ngarrindjeri gerettet zu haben.","Ihre Coiled-Bundle-Technik verwendet die lokale Stachelsegge (Cyperus gymnocaulos), die dem Künstler als Bilbili und Flussbinsen bekannt ist, und Koolmatrie wird die Rettung des traditionellen Ngarrindjeri-Handwerks zugeschrieben.",M,N,,
"During the period between 1960 and 1964, Mitchell moved away from the all-over style and bright colors of her earlier compositions, instead using sombre hues and dense central masses of color to express something inchoate and primordial. <sep> ","The marks on these works were said to be extraordinary: The paint flung and squeezed on to the canvases, spilling and spluttering across their surfaces and smeared on with the artist's fingers.",F,"Die Spuren auf diesen Arbeiten wurden für außergewöhnlich befunden: Die Farbe wurde auf die Leinwände geschleudert und gepresst, die Farbe verlief und spritzte und wurde dann von der Künstlerin mit den Fingern verschmiert.","Die Spuren auf diesen Werken sollen außergewöhnlich gewesen sein: Die Farbe, die auf die Leinwände geschleudert und gepresst wurde, über ihre Oberflächen spritzte und spritzte und mit den Fingern des Künstlers verschmiert wurde.",M,N,,
"For this book she won the Nienke van Hichtum-prijs, the Woutertje Pieterse Prijs and the Gouden Griffel. <sep> ",Schaap is the first author to win the Woutertje Pieterse Prijs with a debut novel.,F,"Schaap ist die erste Autorin, die den Woutertje Pieterse Prijs mit einem Debütroman gewonnen hat.","Schaap ist der erste Autor, der mit einem Debütroman den Woutertje Pieterse Prijs gewinnt.",M,N,,
They were literally defects of her voice; she bent them into advantages of her singing. <sep> ,"Giulini believes, If melodrama is the ideal unity of the trilogy of words, music, and action, it is impossible to imagine an artist in whom these three elements were more together than Callas.",F,"Giulini meint: ""Nimmt man das Melodrama als die ideale Einheit einer Trilogie aus Wort, Musik und Handlung, dann ist es unmöglich, sich eine Künstlerin vorzustellen, die diese drei Elemente besser vereint als Callas.""","Giulini glaubt: Wenn das Melodram die ideale Einheit der Trilogie von Wort, Musik und Handlung ist, ist es unmöglich, sich einen Künstler vorzustellen, bei dem diese drei Elemente mehr zusammen waren als Callas.",M,N,,
"On November 18, 2004, she revealed on her website that she would return to music and announced that the album would be called The Emancipation of Mimi, stating, For the first time in my life, I feel free and unashamed to be who I really am, she wrote. <sep> ",I am celebrating that I've grown into a person and artist who no longer feels imprisoned by my insecurities ...,F,"Ich feiere, dass ich mich zu einer Frau und Künstlerin entwickelt habe, die sich nicht mehr durch ihre Unsicherheiten eingeschränkt fühlt.","Ich feiere, dass ich zu einer Person und Künstlerin herangewachsen bin, die sich nicht mehr von meinen Unsicherheiten eingesperrt fühlt ...",F,Y,,
"At her mother's urging, Karsavina chose to graduate ahead of schedule in early 1902. <sep> ",They desperately needed the small income Karsavina would receive as a dancer with the corps de ballet.,F,"Sie brauchten dringend das geringe Einkommen, das Karsavina als Tänzerin des Corps de Ballet verdienen würde.","Sie brauchten dringend das kleine Einkommen, das Karsavina als Tänzerin des Corps de Ballet erhalten würde.",F,Y,,
"She was born Charlotte Louise Kingdon, the daughter of John Clarence Kingdon and Elsie Wilmot, and was educated at Minnedosa Collegiate, the Manitoba Provincial Normal School and Brandon College. <sep> ","Prior to running for political office, Oleson raised three children and worked as librarian for the town of Glenboro and later for Glenboro Collegiate.",F,"Bevor Oleson für ein politisches Amt kandidierte, zog sie drei Kinder groß und arbeitete erst als Bibliothekarin für die Stadt Glenboro und später für das Glenboro Collegiate.","Bevor er für ein politisches Amt kandidierte, zog Oleson drei Kinder groß und arbeitete als Bibliothekar für die Stadt Glenboro und später für das Glenboro Collegiate.",M,N,,
"If she were more comfortable singing higher, then the teacher would probably classify her as a soprano. <sep> ","A voice teacher, however, would never classify a singer in more than one voice type, regardless of the size of the vocal range of the singer.",F,"Ein Gesangslehrer würde einer Sängerin allerdings nie mehr als eine Stimmlage zuordnen, unabhängig von der Größe des Stimmumfangs der Sängerin.","Ein Gesangslehrer würde jedoch einen Sänger niemals in mehr als einen Stimmtyp einteilen, unabhängig von der Größe des Stimmumfangs des Sängers.",M,N,,
Coordinates: 55.035°N 7.284°W Thornhill College is a Roman Catholic grammar school for girls. <sep> ,It has a student population of approximately 1500 and a staff of 100 teachers.,F,Es gibt etwa 1500 Schülerinnen und 100 Lehrkräfte.,Es hat eine Studentenbevölkerung von ungefähr 1500 und einen Stab von 100 Lehrern.,N/D,A,,
"In October 2005, Wightman was indicted in Boston, Massachusetts for practicing psychology without a license, filing false health care claims, and engaging in insurance fraud after local FOX affiliate WFXT did an undercover investigation into her therapy practice. <sep> ","Under unusual provisions of Massachusetts law, Wightman had been allowed to practice as a psychotherapist, not as a psychologist.",F,Aufgrund besonderer Bestimmungen in der Gesetzgebung von Massachusetts durfte Wightman nur als Psychotherapeutin und nicht als Psychologin praktizieren.,"Unter ungewöhnlichen Bestimmungen des Gesetzes von Massachusetts war Wightman erlaubt worden, als Psychotherapeut zu praktizieren, nicht als Psychologe.",M,N,,
"As her work has evolved over the past several years, Baker says she is less conscious of ‘riding the boundary’ between the historically disparate modes. <sep> ",Flat Out also featured freestanding sculptural works such as Kurotoplac Kurve that the artist would explore further in subsequent shows.,F,"Flat Out zeigte auch freistehende bildnerische Arbeiten wie Kurotoplac Kurve, die die Künstlerin in späteren Ausstellungen weiter ausführen wird.","Flat Out zeigte auch freistehende skulpturale Arbeiten wie Kurotoplac Kurve, die der Künstler in späteren Ausstellungen weiter erforschen würde.",M,N,,
"Lee has embarked on a tour promoting her album, Everyone Afraid to Be Forgotten. <sep> ","The artist stated that between shows ""I found myself alone in my studio at every given chance, inspired from that whole synergy I experienced with the audience on stage"".",F,"Über die Zeit zwischen den Auftritten sagte die Künstlerin: ""Ich fand mich bei jeder sich bietenden Gelegenheit allein in meinem Studio wieder, inspiriert von der ganzen Synergie, die ich mit dem Publikum auf der Bühne erlebte.""","Der Künstler erklärte, dass ich mich zwischen den Shows ""bei jeder sich bietenden Gelegenheit allein in meinem Studio befand, inspiriert von dieser ganzen Synergie, die ich mit dem Publikum auf der Bühne erlebte"".",M,N,,
"With the packed house at The Week Rio, and an audience of about three thousand people, Gil celebrated the anniversary of her show and pre-release of his DVD/Blu-ray which hits stores in August: It's eight-year career and three of them working on this show. <sep> ",Today I am an artist mature and aware enough of my segment.,F,"Heute bin ich eine Künstlerin, die reif genug ist, sich ihres Metiers bewusst zu sein.","Heute bin ich ein Künstler, der gereift ist und sich meines Segments bewusst genug ist.",M,N,,
"She had another affair with a local man during a stay with her daughters in Samoa in 1989; when she returned she discovered Pat was also having an affair, which she accepted. <sep> ","A prolific artist, Bewick paints in oil, sculpts, and works with cloth, but is most associated with watercolours.",F,"Bewick ist eine vielseitige Künstlerin, die neben Ölgemälden auch Skulpturen und Textilien anfertigt, sie ist aber vor allem für ihre Aquarelle bekannt.","Als produktiver Künstler malt Bewick in Öl, bildhauert und arbeitet mit Stoff, wird aber am meisten mit Aquarellfarben in Verbindung gebracht.",M,N,,
"Anne Elwood, from her Memoirs of Literary Ladies: It was her invariable habit to write in her bed-room, – a homely-looking, almost uncomfortable room, fronting the street, and barely furnished – with a simple white bed, at the foot of which was a small, old, oblong-shaped sort of dressing-table, quite covered with a common worn writing-desk, heaped with papers, while some strewed the ground, the table being too small for aught besides the desk. <sep> ","A little high-backed cane chair, which gave you any idea but that of comfort, and a few books scattered about, completed the author's paraphernalia.",F,"Ein kleiner Stuhl mit hoher Rückenlehne, der nur annähernd bequem aussah, und ein paar verstreute Bücher, stellten die Ausstattung der Autorin dar.","Ein kleiner Rohrstuhl mit hoher Lehne, der nur eine Vorstellung von Komfort vermittelte, und ein paar Bücher, die überall verstreut waren, vervollständigten die Utensilien des Autors.",M,N,,
"Following Congressional passage of the amendment, Friedan advocated for ratification of the amendment in the states and supported other women's rights reforms: she founded the National Association for the Repeal of Abortion Laws but was later critical of the abortion-centered positions of many liberal feminists. <sep> ","Regarded as an influential author and intellectual in the United States, Friedan remained active in politics and advocacy until the late 1990s, authoring six books.",F,"Friedan, die als einflussreiche Autorin und Vordenkerin in den Vereinigten Staaten gilt, blieb bis Ende der 1990er Jahre aktiv in der Politik und der Interessenvertretung und schrieb sechs Bücher.","Friedan, der in den Vereinigten Staaten als einflussreicher Autor und Intellektueller gilt, blieb bis Ende der 1990er Jahre in Politik und Anwaltschaft aktiv und verfasste sechs Bücher.",M,N,,
She received the MacMillan and Brissenden for creative writing; the Canada Council award; the Vancouver Mayor's Arts Award for Literary Arts; and the Order of Canada for her contributions to Canadian literature. <sep> ,"Marlatt is currently a student of the Gelug school of Tibetan Buddhism, and currently lives in Vancouver, B.C.",F,"Marlatt ist derzeit Schülerin der Gelug-Schule des tibetischen Buddhismus und lebt in Vancouver, Ba.C.a","Marlatt ist derzeit Schülerin der Gelug-Schule des tibetischen Buddhismus und lebt derzeit in Vancouver, B.C.",F,Y,,
"Meanwhile, she had left the Democratic Party, after having criticized Matteo Renzi's policies and joined Giuseppe Civati's Possible. <sep> ","After Civati's resignation, Brignone was elected the new Secretary of Possible.",F,Nach Civatis Rücktritt wurde Brignone die neue Vorsitzende von Possible.,Nach Civatis Rücktritt wurde Brignone zum neuen Secretary of Possible gewählt.,M,N,,
"Growing up with a carefree nature, she was an introvert and was the kind of girl who loved reading, writing and drawing. <sep> ","Aw wanted to be a dancer, an artist or a child psychologist.",F,"Aw wollte Tänzerin, Künstlerin oder Kinderpsychologin werden.","Aw wollte Tänzer, Künstler oder Kinderpsychologe werden.",M,N,,
